date,title,slides,reading,main_points,mp_link,opt,assignment,assign_link
2023-09-28,00: Welcome!,https://cogs169.s3.us-west-1.amazonaws.com/00_Welcome.pdf,,,,,,
2023-10-03,01: History of (Behavior) Genetics & Reading Papers,https://cogs169.s3.us-west-1.amazonaws.com/01_History_Reading.pdf,"Textbook: Ch 1; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/01_origins_behavior_genetics.pdf"">The Origins of Behavioral Genetics</a>",MP01,https://docs.google.com/document/d/1xfxdiYnmKXftqsgyhUJhy43p0qiQm0efz4_afSQ3yoQ/edit?usp=sharing,—,RR01,https://docs.google.com/forms/d/e/1FAIpQLScOF6KIukTkFSLCA0oDH-I2v6nDZqfwBZWzeK3GkF0tzu1hxQ/viewform?usp=sf_link
2023-10-03,,,,,,,[Extra Credit] Pre-course survey due,https://docs.google.com/forms/d/e/1FAIpQLSeZA-lnNfhGRkU30CTrQF6tJpXodMnzm45tbVufaHTG0xNqgw/viewform?usp=sf_link
2023-10-05,02: Mendelian Genetics & The Central Dogma,https://cogs169.s3.us-west-1.amazonaws.com/02_Mendelian.pdf,Textbook: Ch 3-3.3,MP02,https://docs.google.com/document/d/1fStpcmSvvQUXM8ejS_Sp8F_l27f_bFtr5AUIFj0eqfQ/edit?usp=sharing,"<a href=""https://www.nature.com/articles/171737a0"">Watson & Crick’s 1953 Paper</a>",RR02,https://docs.google.com/forms/d/e/1FAIpQLSfGCXpX1PhEaWSU237ZHIddDL22X3YUc3gFjmMC9Wj-kWe_MQ/viewform?usp=sf_link
2023-10-10,"03: Genes, Variation, & Heritability",https://cogs169.s3.us-west-1.amazonaws.com/03_Genes_Variation.pdf,Textbook: Ch 3.6-Summary; Ch 2.6-Summary,MP03,https://docs.google.com/document/d/1qFLRwO7zu5WBMkf_ppLjWvpMcwPQVS1HYU0lv5cByg8/edit?usp=sharing,"<a href=""https://medlineplus.gov/genetics/understanding/mutationsanddisorders/"">Variants & Health</a>",RR03,https://docs.google.com/forms/d/e/1FAIpQLSc58M9rgZyjkVk_siKt6jrAnWdUzDMzgRhirvNqLcY9KGq4dg/viewform?usp=sf_link
2023-10-12,04: Model Organisms,https://cogs169.s3.us-west-1.amazonaws.com/04_Model_Organisms.pdf,Textbook: Ch 15-15.6; Ch 17-17.2,MP04,https://docs.google.com/document/d/1vXwh__ADguEo6xGUzuQc9N_FincBvYTm6y4BFTxFxww/edit?usp=sharing,—,RR04,https://docs.google.com/forms/d/e/1FAIpQLSfc6WFJ0g1LCQLovhS3SWU6hCc1WfTcoPWFuTVUXQABmi91Aw/viewform?usp=sf_link
2023-10-17,,,,,,,,
2023-10-19,05: Genetic Techniques,https://cogs169.s3.us-west-1.amazonaws.com/05_Techniques.pdf,Textbook: Ch 5; Ch 6; Ch 16-16.3,MP05,https://docs.google.com/document/d/1MSXSDM-_2kFutO0MsOUJU-fjEwh5OSNI_cvCtCeJBnM/edit?usp=sharing,—,RR05,https://docs.google.com/forms/d/e/1FAIpQLSer2ABJdzFbYKLg5oPzkJfkw5y74GgAQtrHRUjpf_tY-HAP6g/viewform?usp=sf_link
2023-10-24,Catch up Lecture,,No Reading Assignment,,,,,
2023-10-26,06: Epigenetics*,https://cogs169.s3.us-west-1.amazonaws.com/06_Epigenetics.pdf,"Textbook: Ch 4; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/06_epigenetics_maternal.pdf"">Epigenetic programming by maternal behavior</a>",MP06,https://docs.google.com/document/d/1sbecPmgQWWQqXWQ4FpG-FLDCwfhi8VppZ4AxWlKRNXU/edit?usp=sharing,—,RR06,https://docs.google.com/forms/d/e/1FAIpQLSc8GFwWe4ABeknE6UluwEnR55SOAZxz6WfGpZxQRXbJGMlKyQ/viewform?usp=sf_link
2023-10-29,,,,,,,Midterm Due,https://www.gradescope.com/courses/629529
2023-10-31,06: Epigenetics (Day 2),,No Reading Assignment,,,,,
2023-11-02,07: Sleep & Circadian Rhythms,https://cogs169.s3.us-west-1.amazonaws.com/07_Sleep.pdf,"Textbook: Ch 17; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/07_TINS_Fly_Sleep.pdf"">TINS Fly Sleep</a>",MP07,https://docs.google.com/document/d/1ERDT4TqH8dQomDz7hK7YrMNoKJ2o7BcJ1p2eSrLRPDU/edit?usp=sharing,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/07_internal_wakeup.pdf"">Internal Wakeup Call</a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/07_Circ_rhythms_and_sleep.pdf"">Circadian Rhythms & Sleep</a>",RR07,https://docs.google.com/forms/d/e/1FAIpQLSe8tw9jhiAD90DIIEjJG_3Q76VOQc2OHoaifzDSyuyJPS9PCg/viewform?usp=sf_link
2023-11-03,,,,,,,[Extra Credit] Mid-course survey,https://docs.google.com/forms/d/e/1FAIpQLSeayzU-lhHD-Azh-Yld4uUSCKBiLC1Q5JzLgGTDxtHYOFouPQ/viewform?usp=sf_link
2023-11-07,08: Intelligence (Day 1),https://cogs169.s3.us-west-1.amazonaws.com/08_Intelligence.pdf,Textbook: Ch 12.1; Ch 9; Ch 16.4-16.7,MP08,https://docs.google.com/document/d/1Xibifqg3SEscYyDMe8z4OXzfRw5ISdXd93hD7uDnU3U/edit?usp=sharing,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/08_Genetic_Foundations_of_Human_Intelligence.pdf"">Genetic Foundations of Intelligence</a>",RR08A,https://docs.google.com/forms/d/e/1FAIpQLSclwlMmmGZ9A0DyCz84jSnT3iKDx12f83zaPidXeJO7OdJ6QQ/viewform?usp=sf_link
2023-11-09,08: Intelligence (Day 2),,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/08_fruit_fly_forgets.pdf"">Learning How a Fruit Fly Forgets</a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/08_breastfeeding_IQ.pdf"">Breastfeeding and IQ (abstract and Fig 1)</a>",,,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/08_Genetic_Foundations_of_Human_Intelligence.pdf"">Genetic Foundations of Intelligence</a>",RR08B,https://docs.google.com/forms/d/e/1FAIpQLScdQqSmI9h8JZcwBa0Ep6fxpLDZsYEHiGDsm55e1lUVcnCyoQ/viewform?usp=sf_link
2023-11-14,,,,,,,Project Proposal Due (template provided here; submit on Gradescope) ,https://docs.google.com/document/d/1vTCqVDb9UIcYOSJV15F7Mb4FDtmwIi2CwtcBc8KNSRM/edit?usp=sharing
2023-11-14,Catch up Lecture,,No Reading Assignment,,,—,,
2023-11-16,09: Social Behavior,https://cogs169.s3.us-west-1.amazonaws.com/09_Social_Interaction.pdf,"Textbook: Ch 19; Ch 8; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/09_fly_social_behavior.pdf"">Fly Social Behavior</a>",,,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/09_Social_behavior_in_simple_organisms.pdf"">Social behavior in ‘simple’ organisms</a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/09_Social_attachment.pdf"">Social Attachment</a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/09_Pair_Bonding.pdf"">Pair Bonding</a>",RR09,https://docs.google.com/forms/d/e/1FAIpQLSdv-3obJpU1aQT7RI-p6taB8ufJEWgXxwVF1Egs_e21pjZgKA/viewform?usp=sf_link
2023-11-21,Proposal Meetings,,,,,,,
2023-11-23,No Class (Thanksgiving!),,,,,,,
