week,date,title,slides,assignment,assign_link,reading,main_points,mp_link,opt,
0,2024-09-26,00: Welcome!,https://cogs169.s3.us-west-1.amazonaws.com/00_Welcome.pdf,,,,,,,
1,2024-10-01,01: History of (Behavior) Genetics (Day 1),https://cogs169.s3.us-west-1.amazonaws.com/01_History_Reading.pdf,RRQ1A,https://us.prairielearn.com/pl/course_instance/166207/assessment/2460734/,Textbook: Ch 1,MP01A,https://docs.google.com/document/d/1xfxdiYnmKXftqsgyhUJhy43p0qiQm0efz4_afSQ3yoQ/edit?usp=sharing,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/01_origins_behavior_genetics.pdf"">The Origins of Behavioral Genetics</a>",
1,2024-10-03,01: History of (Behavior) Genetics (Day 2),,RRQ1B,https://us.prairielearn.com/pl/course_instance/166207/assessment_instance/8336962/,"<a href=""https://towardsdatascience.com/guide-to-reading-academic-research-papers-c69c21619de6"">Guide to Reading Academic Research Papers</a>",MP01B,https://docs.google.com/document/d/1VdKqpF0nbtT42gS6o9DPlFZDmGJOgRkhmdyo-B8eyn4/edit?usp=sharing,—,
1,2024-10-06,,,Pre-course survey due (#finaid),https://docs.google.com/forms/d/e/1FAIpQLSeF9udnXROo5ZoCYjbiBhsQxXYnCpKMFvwkgml35yOqlVIcDg/viewform?usp=sf_link,,,,,
2,2024-10-08,02: Mendelian Genetics & The Central Dogma (Day 1),https://cogs169.s3.us-west-1.amazonaws.com/02_Mendelian.pdf,RRQ2A,https://us.prairielearn.com/pl/course_instance/166207/assessment/2464259,"<a href=""https://www.nature.com/scitable/topicpage/gregor-mendel-and-the-principles-of-inheritance-593/"">Gregor Mendel & Principles of Inheritance</a>",MP02A,https://docs.google.com/document/d/10WB3Vbt92w11xi-gTtbbgUUe3KYHd6qyM35CmljM9gE/edit?usp=sharing,"<a href=""https://www.nature.com/articles/171737a0"">Watson & Crick’s 1953 Paper</a>",
2,2024-10-10,No Class (Prof Travel ✈️),,,,,,,,
3,2024-10-15,02: Mendelian Genetics & The Central Dogma (Day 2),,RRQ2B,https://us.prairielearn.com/pl/course_instance/166207/assessment/2466277,"Textbook: Ch 3-3.3; <a href=""https://www.yourgenome.org/theme/how-is-dna-turned-into-protein-the-central-dogma-of-molecular-biology/"">The Central Dogma</a>",MP02B,https://docs.google.com/document/d/1fStpcmSvvQUXM8ejS_Sp8F_l27f_bFtr5AUIFj0eqfQ/edit?usp=sharing,"<a href=""https://medlineplus.gov/genetics/understanding/mutationsanddisorders/"">Variants & Health</a>; <a href=""https://www.nature.com/scitable/ebooks/the-elaboration-of-the-central-dogma-16553173/contents/"">The Elaboration of the Central Dogma</a>",
3,2024-10-17,"03: Genes, Variation, & Heritability",https://cogs169.s3.us-west-1.amazonaws.com/03_Genes_Variation.pdf,RRQ3,https://us.prairielearn.com/pl/course_instance/166207/assessment/2468393,Textbook: Ch 3.6-Summary; Ch 2.6-Summary,MP03,https://docs.google.com/document/d/1qFLRwO7zu5WBMkf_ppLjWvpMcwPQVS1HYU0lv5cByg8/edit?usp=sharing,—,
4,2024-10-22,04: Model Organisms,https://cogs169.s3.us-west-1.amazonaws.com/04_Model_Organisms.pdf,RRQ4,https://us.prairielearn.com/pl/course_instance/166207/assessment/2469308,"Textbook: Ch 17-17.2; <a href="" https://cogs9.s3.us-west-1.amazonaws.com/04_model_organisms.pdf"">Model Organisms</a>",MP04,https://docs.google.com/document/d/1vXwh__ADguEo6xGUzuQc9N_FincBvYTm6y4BFTxFxww/edit?usp=sharing,Textbook: Ch 15-15.6,
4,2024-10-24,05: Genetic Techniques,https://cogs169.s3.us-west-1.amazonaws.com/05_Techniques.pdf,RRQ5,https://us.prairielearn.com/pl/course_instance/166207/assessment/2470898,Textbook: Ch 5; Ch 6; Ch 16-16.3,MP05,https://docs.google.com/document/d/1MSXSDM-_2kFutO0MsOUJU-fjEwh5OSNI_cvCtCeJBnM/edit?usp=sharing,—,
